|sentence|dynamic
205|Mais c’est surtout l’importance de la dimension donnée à ce jardin, sa longueur, qui semble nécessaire pour que l’imaginaire du public quitte l’échelle de la plate-bande pour retrouver la dimension d’un champ cultivé et l’outillage adapté pour ce type de parcelle ».|0
206|Maîtrise d’œuvre: Michel Corajoud, Claire Corajoud, Atelier Corajoud, paysagistes; Laurent Fachard, éclairagiste; JLF Concept, b.e.t.|0
207|Nous réalisons actuellement les premiers travaux de la transformation des quais de la rive gauche de Bordeaux et je n’ai pas suffisamment de recul pour faire le bilan de ce travail.|1
208|Il nous reste quatre ou cinq ans de chantier.|1
209|C’est un projet de « second œuvre », en ce sens que toute la beauté possible est déjà là.|1
210|Beauté géographique, celle de la Garonne forte et ample ; historique, celle de l’incomparable façade des XVII e , XVIII e et XIX e siècles, entièrement constituée.|0
211|Nous nous intéressons à la lumière des quais, qui est trop crue ; nous y apportons les ombres et les lumières d’un espace « jardiné ».|1
212|Nous sommes très attentifs au confort de ceux qui vont vivre et pratiquer cet immense espace.|0
213|Attention comparable à celle que nous portions, voici quarante ans avec Bernard Rousseau, à la conception d’un logement.|1
214|« Pour transférer sur les quais les émotions produites par la luminosité des beaux ensembles de la ville minérale, il nous faut accueillir la lumière avec une autre matérialité, créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures enfin.|1
215|Aussi avons nous choisi de jardiner les quais, jardiner voulant littéralement dire : employer les méthodes du jardinage pour aménager cet espace public.|1
216|Ainsi l’espace des quais restera pour toujours une interface particulière, un troisième état des choses entre Nature (nature de la rive Sud, nature du fleuve) et la ville sédimentaire que contient la façade ».|1
217|Maîtrise d’œuvre: Michel Corajoud, Claire Corajoud, Atelier Corajoud, paysagistes; Pierre Gangnet, architecte; Anouk Debarre, paysagiste; Laurent Duplantier, architecte; Laurent Fachard, éclairagiste; Alain Vincent, économiste; Francis Petit, b.e.t.|0
218|Au terme de ce rapide tour d’horizon je tente de répondre à la question maintes fois posée par Bernardo Secchi et bien d’autres : « Comment améliorer l’habitabilité de la ville diffuse?|0
219|Là où la campagne est encore voisine de la ville compacte ou sur des terrains agricoles convoités par l’urbanisation, je propose de reporter, avec grande attention, le tissu ordinaire de la ville diffuse sur le fonds territorial, sur le paysage architecturé par les agriculteurs.|1
220|Le recouvrement judicieux de cette « anthropogéographie » rurale peut, à mon sens, polariser, orienter, ordonner, et finalement qualifier les fragments épars de la ville moderne.|1
221|Car beaucoup des configurations, des distributions de la campagne, qu’elles soient d’origine humaine (le système viaire, le parcellaire, le bâti...) ou naturelle (l’orographie, l’hydrographie, la végétation...), sont aptes à accueillir une forme urbaine.|1
222|Elles forment un substrat capable de régler d’autres activités, d’autres pratiques, capable d’initier une autre fondation.|0
223|Car ces assemblages faits de tracés, de scarifications, de drapés, d’adossements, de délaissés, sont presque toujours le fruit d’une longue interdépendance, d’une patiente négociation entre l’homme et son milieu.|0
224|Ils ne manquent donc pas d’intelligence, ni d’efficacité ou de commodité.|0
225|Parce qu’elle serait réglée par l’orientation et l’inclinaison générales des terres agricoles, et par effet de continuité, la ville aurait donc en perspective et sur tous les horizons, des vues sur la campagne.|0
226|Campagne enchantée plus encore, lorsqu’elle serait orientée sur un fond de « nature ».|0
227|En ce sens, j’évoque l’idée d’une monumentalité possible du fonds territorial.|0
228|J’estime en effet que le paysage de la campagne peut contribuer, en la contenant, à donner du sens à la ville diffuse.|0
229|Inversement, la ville nouvellement instruite par la campagne aurait une aptitude à sauvegarder cette dernière.|1
230|Le refus grandissant des effets pervers de la mondialisation ouvre des perspectives sur d’autres formes d’exploitation agricole.|0
231|En bien des endroits, à la culture intensive s’ajoute une culture de proximité où les produits cultivés sont à portée de main et de vue des habitants de la ville.|0
232|Ces deux mondes, l’urbain et le rural, sont peut-être en train de se réconcilier.|0
233|Dès les premières heures, sans précisions sur le programme ni sur le site qui fera l’objet de votre intervention, je vous invite à mener parallèlement deux actions d’une grande intensité.|0
234|Vous devez d’abord combler, dans un temps court, un déficit énorme de connaissances.|0
235|Mille questions doivent être posées : Que s’est-il tramé, que se trame-t-il sur ce lieu ?|1
236|Que veut-on faire de lui ?|1
237|Quel fut son apogée, à quand remonte son déclin, pourquoi est-il disponible aujourd’hui et pourquoi doit-on le transformer ?|1
238|Toutes ces questions peuvent rester, pour un temps sous une forme évasive, suspendue.|0
239|C’est le questionnement lui-même qui vous déterminera et vous engagera dans la réalité.|0
240|Dans le même temps, vous pouvez très bien, sans attendre toutes les réponses, formuler des hypothèses de travail et dessiner les premières propositions d’aménagement.|0
241|L’important, me semble-t-il, est de prendre le plus tôt possible, la posture projectuelle pour éviter les atermoiements d’une analyse préalable trop longue.|0
242|La manière dont vous vous engagez dans le projet est décisive.|0
243|L’état d’effervescence que je vous suggère viendra, en effet, dynamiser et conforter les premiers moments où vous devrez résoudre des contradictions, réunir des domaines séparés, expérimenter, imaginer l’espace et le représenter.|1
244|Vous devez parcourir le site et ses alentours en tous sens, observer et consigner toutes les configurations, jusqu’aux plus ténues et aux plus négligeables.|0
245|Une observation trop hâtive des lieux risquerait de surévaluer un élément qui, sur le site, serait exagérément mis en relief en négligeant les autres.|0
246|Le premier écueil serait donc votre fascination pour un point de vue unique, fascination si forte qu’elle éclipserait toutes les autres données.|0
247|Pour conjurer cette majoration abusive, apprenez l’ubiquité. Soyez partout à la fois et, lorsqu’un point de vue s’impose, fuyez à l’opposé, quitte à revenir vers lui si sa domination persiste !|0
248|Le second écueil serait de ponctionner sur le paysage, à la suite de visites plus ou moins succinctes, quelques données « objectives », généralement les plus tranchées, les plus saillantes, celles qui se prêtent le mieux à la représentation, à la transcription.|0
249|Les projets qui s’ensuivent montrent bien qu’ils sont inaptes à recomposer vraiment la réalité, qu’ils ne sont le fruit que d’une extraction, que d’une suite de négligences.|0
250|Tout projet sur le territoire devrait commencer par remettre en cause l’apparente légitimité des limites convenues pour une opération, par le refus de laisser le paysage se fragmenter en multiples « terrains d’action » aveugles les uns aux autres.|1
251|L’aménagement de chaque lieu doit, au contraire, être instruit par une connaissance large du site qui l’accueille, et son projet doit travailler l’ensemble des données induites par les espaces mitoyens qui, par enchaînement, composent les divers horizons d’un site.|1
252|Il vous faut prendre de la distance, rejoindre les limites pour y découvrir les différentes issues par lesquelles s’évader.|0
253|Élargissant votre point de vue au delà des limites qui vous sont assignées, vous pourrez mesurer leur résistance, faire l’état de leur porosité.|0
254|En vous éloignant, vous testerez les diverses conditions par lesquelles, ici, l’espace s’affirme ou, là, bascule sur des espaces voisins, et quels sont les guichets par lesquels il s’ouvre sur les lointains.|0
255|Au cours de vos premiers travaux d’investigation, plus vous explorerez le site et plus vous découvrirez que les archives de tout espace sont inépuisables.|0
256|Plus vous analyserez les données du lieu et de la demande et moins vous serez capables d’agir.|0
257|Vous pouvez, si vous n’y prenez garde, vous enliser dans la complexité d’une situation !|0
258|Vous devez donc régulièrement prendre de la distance par rapport au site, le quitter pour travailler dans votre atelier à partir d’outils spécifiques qui représentent et transposent la réalité.|0
259|Mais, une fois engagées et stabilisées vos premières décisions, vous devez retourner sur le site pour en tester le bien-fondé et mesurer l’écart entre l’ébauche de votre projet et son adaptation au site d’accueil.|0
260|Si vous négligez cette consigne, la greffe que vous proposez a toutes les chances d’être rejetée.|0
261|L’enchaînement spatial et temporel de toutes les choses et situations qui composent le paysage contribuent à l’intime emboîtement de ses différentes échelles.|0
262|Il y a, le plus souvent, de nombreuses correspondances entre les éléments constitutifs du local et ceux du global.|0
263|La traversée des échelles consiste donc à maîtriser, simultanément, l’ensemble et le détail, le proche et le lointain.|0
264|Le parc de Versailles est un exemple sublime de l’emboîtement des échelles.|0
265|Une margelle de bassin, un emmarchement, la taille d’une haie font implicitement, et parfois même explicitement, référence à la composition de l’ensemble du jardin.|0
266|La traversée et la maîtrise des échelles sont, de toutes ces conduites ou aptitudes, les plus difficiles à acquérir, celles qui demandent le plus d’expérience et je vous invite donc à vous y entraîner sans attendre.|0
267|Un attachement de plus en plus marqué au contexte vous prédispose à regarder le territoire d’une manière dynamique.|0
268|En effet, les différentes configurations du site que vous découvrez traduisent un mouvement général, une sorte d’inclinaison qui expriment le temps physique et culturel à l’œuvre dans le paysage.|0
269|La méthode que je vous propose peut être comparée à l’usage que font les cinéastes des curseurs de leur table de montage : faites se dérouler, dans un sens et puis dans l’autre, la suite des images qui témoignent des divers temps qui ont modelé et configuré ce paysage ; en poussant le curseur à son extrême, vous pourrez presque prolonger cette suite et entrapercevoir les images qui pèsent sur le devenir du site et qui vous inciteront à telle ou telle transformation.|1
270|Dans le foisonnement et la chronologie des indices décelés, vous saurez reconnaître les tendances les plus marquantes, celles qui permettent de s’immiscer durablement dans le réel en consommant le minimum d’énergie.|0
271|Le projet est, à cet égard, un mélange de souvenirs et d’anticipations.|0
272|Ancrer votre projet dans l’histoire et la géographie des lieux n’est pas une incitation au passéisme et à la conservation mais à refuser la tabula rasa, vous incitant à enchaîner vos nouvelles propositions à la mémoire du site.|1
273|La préservation de l’espace ouvert est une valeur à défendre ou, plus exactement, il est important de s’opposer à l’encombrement systématique de l’espace.|1
274|Ne vous faites jamais les complices d’un acharnement à vouloir tout tenir, tout construire, tout recomposer.|1
275|Opposez-vous, au contraire, à ceux qui amoncellent un fatras d’objets, parfois bien dessinés et très photogéniques, mais qui participe à la surcharge générale du paysage.|0
276|La responsabilité du projet sur l’espace est bien celle d’y ordonner des choses mais elle est aussi souvent celle de se priver de le faire.|1
277|Les créateurs, les maîtres d’œuvre ont beaucoup de choses à dire sur ce qui préside à leur projet, mais plus rares sont les témoignages sur l’acte de projeter lui-même.|0
278|Je pense qu’ils ont tort de vouloir taire l’errance de leur travail de projet.|0
279|N’exhibant que le résultat d’un travail fait dans le secret de l’atelier, ils confortent ainsi l’incommunicabilité fondamentale du travail de création.|0
280|Le projet a, bien entendu, comme visée ultime la transformation et l’amélioration des lieux, mais il est, avant cela, une méthode.|1
281|Rendre compte de cette démarche, c’est rendre accessible à tous (vos enseignants, aujourd’hui, et, demain, les décideurs, les usagers, les entreprises), l’enchaînement des décisions qui ont conduit à la mise en forme proposée.|1
282|C’est donc leur donner les moyens d’intervenir judicieusement sur le cours de votre projet.|0
283|L’espace sur lequel vous travaillez devant être, après sa réalisation, ouvert à l’usage d’autrui, vous devez êtres attentifs aux conditions qui donnent à votre projet les meilleures chances d’entrer dans le concert des gens et des choses.|1
284|Ouvrir le temps de son projet, rendre explicite ses différentes phases d’élaboration, sont une conduite souhaitable pour le faire partager et l’amender.|0
285|Mais gardez-vous de laisser le corps du projet lui-même être envahi, accaparé, et finalement détourné par vos interlocuteurs !|0
286|Seul le créateur peut garder le fil de la transposition, seul il peut assurer la cohérence et l’unité de son travail de mise en forme. Vous devez rester les gardiens vigilants de vos projets!|0
